截至日期和时间,2020年3月3日起超两千例确诊国家疫情发展态势      (人民日报新媒体发布，带颜色数字为累计确诊、历史最大确诊日增、累计死亡、历史最大死亡日增数字前10名）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,截至日期和时间,,,,
,,0,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,12,,,,13,,,,14,,,,15,,,,16,,,,17,,,,18,,,,19,,,,20,,,,21,,,,22,,,,23,,,,24,,,,25,,,,26,,,,27,,,,28,,,,29,,,,30,,,,31,,,,32,,,,33,,,,34,,,,35,,,,36,,,,37,,,,38,,,,39,,,,40,,,,41,,,,42,,,,43,,,,44,,,,45,,,,46,,,,47,,,,48,,,,49,,,,50,,,,51,,,,52,,,,53,,,,54,,,,55,,,,56,,,,57,,,,58,,,,59,,,,60,,,,61,,,,62,,,,63,,,,64,,,,65,,,,66,,,,67,,,,68,,,,69,,,,70,,,,71,,,,72,,,,73,,,,74,,,,75,,,,76,,,,77,,,,78,,,,79,,,,80,,,,81,,,,82,,,,83,,,,84,,,,,,,,
2020/4/10 16:00,211,1568275,86607,92814,4730,466299,34167,16686,1869,11917,3245,94,31,17857,1930,941,141,65077,4344,7978,881,152446,5756,15238,683,143626,4204,18279,610,118235,4939,2607,258,42282,4056,908,96,86334,4286,12210,1341,66220,1634,4110,117,6412,1138,199,50,5256,924,138,17,83305,56,3345,1,20765,1486,524,89,3287,355,44,3,24983,1580,2523,283,3441,260,194,20,5972,426,57,9,21762,1213,148？,-2100？,4489,417,63,5,2376,166,6,0,4450,0,242,0,1066,0,13,0,23496,785,755,51,9141,722,687,0,13956,815,409,29,1910,287,7,0,6224,150,235,0,2990,331,14,2,218,0,20,0,5575,370,174,15,1892,224,57,5,2956,0,240,0,5202,441,229,20,9968,564,86,15,1934,89,18,5,5556,595,108,3,2223,169,69,15,12969,117,273,0,910,55,1,0,1699,139,118,15,2349,238,118,10,4076,206,203,21,10450,27,208,4,5635,233,237,19,2867,201,66,1,2752,224,66,3,5467,246,112,13,1894,99,79,14,6157,144,108,7,1572,0,205,0,855,34,5,0,848?,404?,15,1,6152,100 ,52,2 ,1374,99,97,4,4228,109,67,2,727,0,7,0,2605,118,42,2,288,12,7,1,1174,0,28,1,378,65,6,0,457,38,3,1,921,40,10,1,268,58,19,4,3034,0,46,0,1232,30,69,0,980,85,66,8,730,0,10,0,926,104,9,1,2473,50,33,1,1955,71,86,3,382,70,23,0,164,0,0,0,555,10,3,0,620,47,24,1,14,0,2,0,250,6,2,0,846,42,35,1,618,25,24,1,1407,64,20,1,444,60,3,0,126,39,3,0,515,58,15,3,1648,32,6,0,2020/4/10 16:00,,,,
2020/4/11 18:00,211,1668767,100492,103293,10479,501615,35316,18777,2091,11917,0,94,0,19638,1781,1056,115,73758,8681,8958,980,161852,9406,16353,1115,147577,3951,18849,570,122171,3936,2736,129,47029,4747,1006,98,90676,4342,13197,987,70029,3809,4357,247,6761,349,206,7,5897,641,169,31,83380,75,3349,4,22148,1383,569,45,3651,364,47,3,28018,3035,3346,823,3844,403,233,39,6501,529,65,8,23097,1335,2511,2363？,4695,206,66,3,2512,136,6,0,7161,2711,297,55,1981,915,19,6,24229,733,804,49,9685,544,870,183,15472,1516,435,26,2108,198,7,0,7054,830,288,53,3360,370,16,2,330,112,21,1,5955,380,181,7,2203,311,69,12,3842,886,327,87,5467,265,257,28,10408,440,95,9,2003,69,24,6,6134,578,119,11,2473,250,80,11,13560,591,319,46,993,83,1,0,1794,95,135,17,2620,271,126,8,4195,119,221,18,10480,30,211,3,5819,184,247,10,3105,238,71,5,2974,222,74,8,5674,207,119,7,1975,81,82,3,6267,110,112,4,1761,189,256,51,998,143,6,1,521,-327?,15,0,6215,63 ,54,2 ,1431,57,105,8,4530,302,73,6,802,75,9,2,2769,164,48,6,305,17,7,0,1289,115,29,1,378,0,6,0,484,27,3,0,937,16,11,1,268,0,19,0,3163,129,54,8,1279,47,70,1,1190,210,77,11,820,90,12,2,991,65,10,1,2473,0,33,0,2011,56,86,0,382,0,23,0,212,48,0,0,624,69,3,0,683,63,33,9,15,1,2,0,265,15,2,0,886,40,36,1,635,17,25,1,1495,88,21,1,480,36,3,0,126,0,3,0,564,49,15,0,1675,27,7,1,2020/4/11 18:00,,,,
2020/4/12 16:00,211,1741000,72233,108441,5148,529951,28336,20608,1831,15770,3853,130,36,20727,1089,1124,68,78991,5233,9875,917,161852,0,16353,0,152271,4694,19468,619,125452,3281,2871,135,52167,5138,1101,95,93790,3114,13832,635,70029,0,4357,0,7529,768,242,36,6848,951,181,12,83482,102,3349,0,23318,1170,653,84,4033,382,52,5,28018,0,3346,0,4219,375,273,40,6927,426,73,8,24413,1316,2643,132,5011,316,86,20,2728,216,6,0,7257,96,315,18,2226,245,23,4,24821,592,830,26,10151,466,887,17,15987,515,470,35,2299,191,8,1,8928,1874,320,32,3736,376,20,4,424,94,27,6,6356,401,208,27,2511,308,73,4,3842,0,327,0,5990,523,282,25,10743,335,101,6,2028,25,25,1,6903,769,145,26,2709,236,100,20,13802,242,337,18,1154,161,1,0,1939,145,146,11,2759,139,135,9,4428,233,247,26,10512,32,214,3,5996,177,260,13,3380,275,74,3,3234,260,79,5,5831,157,129,10,2142,167,89,7,6408,141,117,5,1825,64,275,19,1016,18,6,0,555,34,15,0,6292,77 ,56,2 ,1545,114,111,6,4530,0,73,0,865,63,10,1,2905,136,49,1,318,13,10,3,1560,271,30,1,408,30,8,2,546,62,3,0,966,29,13,2,268,0,19,0,3270,107,62,8,1318,39,72,2,1310,120,85,8,836,16,12,0,1058,67,11,1,2518,45,35,2,2081,70,93,7,382,0,23,0,250,38,0,0,767,143,4,1,725,42,39,6,19,4,2,0,278,13,2,0,937,51,37,1,661,26,28,3,1534,39,21,0,533,53,4,1,126,0,3,0,564,0,15,0,1689,14,8,1,2020/4/12 16:00,,,,
2020/4/13 16:00,211,1814271,73271,113792,5351,557571,27620,22108,1500,18328,2558,148,18,22169,1442,1223,99,84279,5288,10612,737,166019,4167,16972,619,156363,4092,19899,431,127854,2402,3022,151,56956,4789,1198,97,95403,1613,14393,561,71686,1657,4474,117,9152,1623,308,66,7519,671,193,12,83597,115,3351,2,24384,1066,717,64,4462,429,59,7,29647,1629,3600,254,4661,442,296,23,7213,286,80,7,25587,1174,2737,94,5230,219,91,5,2979,251,7,1,7446,189,333,18,2578,352,26,3,25056,235,857,27,10483,332,899,12,16585,598,504,34,2532,233,8,0,9655,727,334,14,4123,387,22,2,624,200,34,7,6674,318,232,24,2777,266,83,10,4241,399,373,46,6300,310,306,24,11145,402,103,2,2173,145,25,0,7399,496,137？,-8？,2776,67,109,9,13945,143,350,13,1234,80,1,0,2065,126,159,13,2967,208,173,38,4648,220,297,50,10537,25,217,3,6174,178,273,13,3630,250,80,6,3400,166,87,8,5952,121,138,9,2208,66,95,6,6485,77,126,9,1914,89,293,18,1087,71,6,0,600,45,18,3,6313,21 ,59,3 ,1661,116,118,7,4683,153,76,3,951,86,10,0,2974,69,56,7,323,5,10,0,1662,102,31,1,566,158,8,0,599,53,4,1,1013,47,13,0,275,7,20,1,3281,11,66,4,1352,34,76,4,1410,100,99,14,820？,-16？,12,0,1098,40,11,0,2551,33,38,3,2114,33,98,5,392,10,24,1,250,0,0,0,865,98,4,0,788,63,42,3,19,0,2,0,280,2,2,0,1000,63,39,2,675,14,29,1,1660,126,23,2,574,41,5,1,137,11,3,0,620,56,16,1,1701,12,8,0,2020/4/13 16:00,,,,
2020/4/14 15:00,211,1883183,68912,119259,5467,582468,24897,23621,1513,21102,2774,170,22,23430,1261,1328,105,89571,5292,11329,717,170099,4080,17756,784,159516,3153,20465,566,128352,498,2994？,-28？,61049,4093,1296,98,98076,2673,14967,574,73303,1617,4585,111,10444,1292,358,50,9784,2265,216,23,83696,99,3351,0,25681,1297,780,63,4934,472,65,6,30589,942,3903,303,5014,353,332,36,7525,312,82,2,26551,964,2823,86,5496,266,93,2,3231,252,7,0,7529,83,355,22,2919,341,29,3,25501,445,884,27,10948,465,919,20,16934,349,535,31,2918,386,9,1,10647,992,365,31,4521,398,25,3,803,179,39,5,6934,260,245,13,3102,325,93,10,4557,316,399,26,6633,333,318,12,11586,441,116,13,2272,99,27,2,7688,289,143？,6？,2852,76,112,3,13999,54,368,18,1300,66,2,1,2190,125,164,5,3167,200,177,4,4932,284,315,18,10564,27,222,5,6318,144,285,12,4054,424,85,5,3472,72,94,7,6022,70,143,5,2277,69,98,3,6547,62,133,7,1983,69,313,20,1348,261,6,0,665,65,21,3,6359,46 ,61,2 ,1763,102,126,8,4817,134,77,1,979,28,12,2,3064,90,59,3,343,20,10,0,1712,50,35,4,566,0,8,0,727,128,4,0,1039,26,14,1,330,55,27,7,3292,11,69,3,1378,26,78,2,1458,48,109,10,848,28?,14,2,1148,50,12,1,2613,62,41,3,2145,31,99,1,397,5,25,1,319,69,0,0,998,133,4,0,897,109,44,2,29,10,4,2,291,11,2,0,1046,46,39,0,685,10,32,3,1650？,-10？,25,2,626,52,6,1,167,30,5,2,726,106,21,5,1711,10,8,0,2020/4/14 15:00,,,,
2020/4/15 16:00,211,1954870,71687,126013,6754,609516,27048,26057,2436,24490,3388,198,28,25262,1832,1532,204,93873,4302,12107,778,172541,2442,18056,300,162488,2972,21067,602,130440,2088,3220,226,65111,4062,1403,107,103573,5497,15729,762,74877,1574,4683,98,11439,995,377,19,10303,519,230,14,83745,49,3352,1,27067,1386,903,123,5369,435,73,8,31119,530,4157,254,5399,385,406,74,7917,392,92,10,27417,866,2945,122,5837,341,96,3,3428,197,7,0,7603,74,369,14,3281,362,33,4,25755,254,899,15,11445,497,1033,114,17448,514,567,32,3252,334,10,1,11479,832,406,41,4933,412,28,3,1012,209,46,7,7202,268,263,18,3372,270,98,5,4839,282,459,60,6879,246,332,14,12046,460,123,7,2415,143,27,0,8173,485,162,19,2979,127,127,15,14159,160,384,16,1355,55,3,1,2350,160,178,14,3286,119,183,6,5223,291,335,20,10591,27,225,3,6511,193,299,14,4465,411,94,9,3574,102,95,1,6101,79,161,18,2443,166,105,7,6623,76,139,6,2070,87,326,13,1522,174,7,1,714,49,23,2,6400,41 ,61,0 ,1888,125,126,0,4987,170,82,5,1197,218,14,2,3161,97,64,5,362,19,11,1,1934,222,41,6,636,70,8,0,813,86,4,0,1067,28,16,2,354,24,28,1,3307,15,67？,-2？,1400,22,78,0,1512,54,122,13,848,0,17,3,1197,49,13,1,2643,30,43,2,2170,25,101,2,419,22,31,6,363,44,0,0,1165,167,4,0,903,6,45,1,32,3,5,1,299,8,2,0,1076,30,41,2,713,28,35,3,1704,54？,31,6,638,12,6,0,180,13,5,0,766,40,21,0,1720,9,8,0,2020/4/15 16:00,,,,
2020/4/16 9:00,211,2028598,73728,133627,7614,637359,27843,28364,2307,24490,0,198,0,28320,3058,1736,204,98476,4603,12868,761,177633,5092,18579,523,165155,2667,21645,578,133154,2714,3559,339,69392,4281,1518,115,106206,2633,17167,1438,76389,1512,4777,94,11933,494,392,15,11475,1172,254,24,83797,52,3352,0,28206,1139,1007,104,5862,493,79,6,33573,2454,4440,283,5399,0,406,0,8273,356,94,2,28153,736,3134,189,6383,546,111,15,3711,283,7,0,7858,255,388,19,3728,447,36,3,26257,502,972,73,11927,482,1203,170,18091,643,599,32,3699,447,10,0,12547,1068,444,38,5365,432,33,5,1231,219,50,4,7582,380,286,23,3764,392,108,10,5136,297,469,10,7216,337,372,40,12501,455,130,7,2506,91,34,7,8683,510,178,16,3105,126,131,4,14321,162,393,9,1405,50,3,0,2505,155,183,5,3614,328,189,6,5453,230,349,14,10613,22,229,4,6681,170,309,10,4867,402,99,5,3574,0,95,0,6216,115,166,5,2443,0,105,0,6740,117,150,11,2160,90,336,10,1671,149,7,0,784,70,25,2,6440,40,63,2,2024,136,127,1,5072,85,83,1,1295,98,16,2,3237,76,72,8,407,45,12,1,2049,115,44,3,636,0,8,0,910,97,4,0,1111,44,17,1,397,43,28,0,3373,66,69,2,1415,15,79,1,1579,67,134,12,848,0,17,0,1253,56,13,0,2643,0,43,0,2192,22,102,1,419,0,31,0,404,41,1,1,1302,137,4,0,923,20,45,0,32,0,5,0,314,15,2,0,1106,30,42,1,735,22,36,1,1741,37,33,2,654,16,6,0,180,0,5,0,814,48,24,3,1727,7,8,0,2020/4/16 9:00,,,,
2020/4/17 15:00,211,2114105,85507,144872,11245,671425,34066,33286,4922,27938,3448,232,34,30425,2105,1924,188,103093,4617,13729,861,182816,5183,19130,551,168941,3786,22170,525,133830,676,3868,309,74193,4801,1643,125,108847,2641,17920,753,77995,1606,4869,92,13387,1454,437,45,12491,1016,274,20,84149,352,4642,1290(核),30106,1900,1195,188,6380,518,83,4,34809,1236,4857,417,6297,898,486,80,8807,534,105,11,29214,1061,3315,181,6919,536,128,17,4103,392,7,0,8225,367,403,15,4204,476,40,4,26653,396,1016,44,12540,613,1333,130,18841,750,629,30,4427,728,10,0,13271,724,487,43,5825,460,35,2,1572,341,60,10,7918,336,314,28,4161,397,116,8,5516,380,496,27,7707,491,387,15,12758,257,142,12,2605,99,48,14,9296,613,190,12,3233,128,144,13,14451,130,410,17,1524,119,3,0,2673,168,196,13,3755,141,196,7,5660,207,362,13,10635,22,230,1,6879,198,321,12,5318,451,103,4,4016,442,109,14,6359,143,169,3,2669,226,122,17,6848,108,152,2,2268,108,348,12,1698,27,7,0,840,56,30,5,6468,28,63,0,2283,259,130,3,5182,110,84,1,1402,107,17,1,3369,132,75,3,442,35,13,1,2154,105,53,9,641,5,8,0,1019,109,4,0,1159,48,18,1,465,68,31,3,3444,71,69,0,1434,19,80,1,1652,73,142,8,996,148,22,5,1283,30,15,2,2671,28,46,3,2207,15,105,3,442,23,41,10,438,34,1,0,1349,47,4,0,974,51,51,6,32,0,5,0,335,21,2,0,1159,53,44,2,800,65,38,2,1791,50,35,2,688,34,6,0,214,34,7,2,862,48,27,3,1739,12,8,0,2020/4/17 15:00,,,,
2020/4/18 15:00,211,2205733,91628,153406,8534,706779,35354,37079,3793,32008,4070,273,41,33682,3257,2141,217,108692,5599,14576,847,188068,5252,19478,348,172434,3493,22745,575,141397,7567,4352,484,78546,4353,1769,126,109252,405,18681,761,79494,1499,4958,89,13835,448,452,15,13489,998,300,26,84180,31,4642,0,31927,1821,1309,114,7142,762,87,4,36138,1329,5163,306,6875,578,546,60,9252,445,116,11,30449,1235,3459,144,7392,473,137,9,4663,560,7,0,8450,225,421,18,4779,575,42,2,26999,346,1058,42,13216,676,1400,67,19022,181,657,28,5050,623,11,1,13980,709,530,43,6302,477,37,2,1838,266,75,15,8379,461,332,18,4662,501,125,9,5923,407,520,24,8067,360,411,24,12982,224,151,9,2783,178,50,2,10098,802,205,15,3439,206,153,9,14553,102,431,21,1658,134,5,2,2844,171,205,9,4126,371,200,4,5878,218,387,25,10653,18,232,2,7073,194,336,15,5690,372,110,7,4210,194,116,7,6499,140,173,4,2758,89,129,7,6937,89,161,9,2418,150,364,16,1740,42,7,0,906,66,30,0,6522,54,66,3,2564,281,135,5,5251,69,86,2,1470,68,17,0,3489,120,82,7,493,51,17,4,2264,110,55,2,641,0,8,0,1069,50,5,1,1201,42,19,1,465,0,31,0,3480,36,72,3,1482,48,81,1,1763,111,156,14,996,0,21(22?),-1？,1340,57,15,0,2700,29,47,1,2224,17,108,3,442,0,41,0,477,39,3,2,1380,31,4,0,1043,69,56,5,35,3,6,1,342,7,2,0,1189,30,46,2,825,25,41,3,1814,23,36,1,742,54,6,0,214,0,7,0,923,61,31,4,1754,15,9,1,2020/4/18 15:00,,,,
2020/4/19 16:00,211,2291281,85548,160044,6638,735287,28508,39090,2011,42853,10845,361,88,36599,2917,2347,206,114217,5525,15464,888,191726,3658,20043,565,175925,3491,23227,482,143724,2327,4538,186,82329,3783,1890,121,111821,2569,19323,642,80868,1374,5031,73,15707,1872,507,55,14420,931,348,48,84201,21,4642,0,33383,1456,1470,161,8274,1132,92,5,37183,1045,5453,290,7497,622,650,104,9730,478,126,10,31589,1140,3601,142,7773,381,148,11,5008,345,8,1,9022,572,456,35,4779,0,45,3,27325,326,1110,52,13822,606,1511,111,19685,663,687,30,5992,942,11,0,14758,778,571,41,6302,0,37,0,2144,306,84,9,8742,363,347,15,5106,444,133,8,6248,325,535,15,8418,351,417,6,13265,283,164,13,3034,251,52,2,10437,339,224,19,3621,182,166,13,14662,109,443,12,1751,93,5,0,3032,188,224,19,4335,209,217,17,6087,209,397,10,10661,8,234,2,7242,169,346,10,5994,304,117,7,4210,0,116,0,6606,107,181,8,2839,81,132,3,7036,99,163,2,2534,116,367,3,1767,27,7,0,933,27,30,0,6586,64,69,3,2685,121,137,2,5305,54,88,2,1591,121,17,0,3681,192,90,8,542,49,19,2,2351,87,57,2,834,193,9,1,1180,111,6,1,1248,47,20,1,520,55,32,1,3537,57,72,0,1513,31,82,1,1834,71,172,16,1016,20,22,1？,1373,33,18,3,2765,65,47,0,2235,11,110,2,472,30,46,5,518,41,3,0,1450,70,4,0,1068,25,58,2,66,31,10,4,350,8,3,1,1245,56,47,1,865,40,41,0,1832,18,39,3,801,59,8,2,257,43,7,0,986,63,32,1,1760,6,9,0,2020/4/19 16:00,,,,
2020/4/20 16:00,211,2362704,71423,165006,4962,759696,24409,40683,1593,47121,4268,405,44,38654,2055,2462,115,120067,5850,16060,596,195944,4218,20453,410,178972,3047,23660,433,145742,2018,4642,104,86306,3977,2017,127,112606,785,19718,395,82211,1343,5118,87,16116,409,519,12,15628,1208,400,52,84237,36,4642,0,34813,1430,1583,113,9362,1088,97,5,38496,1313,5683,230,8261,764,686,36,10088,358,133,7,32655,1066,3684,83,8348,575,168,20,5448,440,8,0,9468,446,474,18,3538？,-1241？,47,2,27658,333,1134,24,14385,563,1540,29,20206,521,714,27,8014,2022,11,0,15251,493,610,39,6781,479,41,4,2456,312,91,7,9287,545,360,13,5449,343,141,8,6575,327,582,47,8746,328,451,34,13491,226,172,8,3158,124,54,2,10807,370,238,14,3792,171,179,13,14696,34,452,9,1915,164,7,2,3144,112,239,15,4680,345,226,9,6259,172,409,12,10674,13,236,2,7384,142,355,9,6318,324,122,5,4467,257,126,10,6701,95,186,5,2941,102,134,2,7078,42,165,2,2629,95,375,8,1873,106,7,0,993,60,32,2,6586,0,69,0,2855,170,141,4,5389,84,89,1,1654,63,17,0,3783,102,94,4,627,85,21,2,2472,121,67,10,1042,208,9,0,1266,86,6,0,1291,43,20,0,564,44,33,1,3550,13,73,1,1539,26,82,0,1916,82,189,17,1016,0,42,20,1398,25,19,1,2765,0,47,0,2235,0,113,3,472,0,46,0,579,61,5,2,1543,93,5,1,1118,50,60,2,66,0,10,0,367,17,3,0,1263,18,49,2,894,29,42,1,1871,39,47,8,847,46,9,1,289,32,7,0,1035,49,34,2,1771,11,9,0,2020/4/20 16:00,,,,
2020/4/21 16:00,211,2441337,78633,170075,5069,787901,28205,42364,1681,52763,5642,456,51,40581,1927,2575,113,124743,4676,16509,449,200210,4266,20852,399,181228,2256,24114,454,147065,1323,4862,220,90980,4674,2140,123,114657,2051,20265,547,83505,1294,5209,91,17656,1540,559,40,16325,697,445,45,84250,13,4642,0,36829,2016,1690,107,10484,1122,103,6,39983,1487,5828,145,8772,511,712,26,10507,419,139,6,33405,750,3751,67,8418,70,176,8,6015,567,9,1,10128,660,507,33,6264,2726？,51,4,27862,204,1141,7,14777,392,1580,40,20863,657,735,21,9125,1111,11,0,15652,401,687,77,7265,484,43,2,2948,492,101,10,9596,309,380,20,5710,261,151,10,6760,185,590,8,8936,190,478,27,13713,222,177,5,3300,142,58,4,11154,347,263,25,3977,185,189,10,14755,59,470,18,1995,80,7,0,3333,189,250,11,4964,284,235,9,6459,200,428,19,10683,9,237,1,7515,131,364,9,6630,312,125,3,4658,191,136,10,6838,137,194,8,3031,90,142,8,7127,49,181,16,2718,89,384,9,1895,22,7,0,1026,33,35,3,6625,39,71,2,3046,191,143,2,5425,36,89,0,1735,81,19,2,3868,85,98,4,665,38,22,1,2548,76,70,3,1042,0,9,0,1410,144,7,1,1339,48,22,2,598,34,34,1,3558,8,75,2,1574,35,82,0,1984,68,199,10,1016,0,42,0,1436,38,19,0,2792,27,47,0,2245,10,116,3,494,22,46,0,622,43,5,0,1543,0,5,0,1213,95,62,2,107,41,12,2,377,10,5,2,1276,13,50,1,915,21,43,1,1881,10,47,0,879,32,10,1,294,5,7,0,1087,52,36,2,1773,2,10,1,2020/4/21 16:00,,,,
2020/4/22 16:00,211,2528330,86993,177198,7123,825183,37282,45075,2711,57999,5236,513,57,43079,2498,2741,166,129044,4301,17337,828,204178,3968,21282,430,183957,2729,24648,534,148453,1388,5086,224,95591,4611,2259,119,117324,2667,20796,531,84802,1297,5297,88,19984,2328,640,81,17837,1512,484,39,84287,37,4642,0,38420,1591,1834,144,11631,1147,109,6,40956,973,5998,170,9501,729,857,145,10832,325,147,8,34134,729,3916,165,9565,1147,201,25,6533,518,9,0,10398,270,520,13,6723,459,55,4,27981,119,1186,45,15322,545,1765,185,21379,516,762,27,9125,0,11,0,16040,388,730,43,7755,490,46,3,3382,434,110,9,9856,260,401,21,6125,415,161,10,7135,375,616,26,9242,306,482,4,13883,170,181,4,3465,165,58,0,11581,427,283,20,4149,172,196,7,14810,55,491,21,2080,85,11,4,3490,157,264,14,5044,80,245,10,6599,140,437,9,10694,11,238,1,7695,180,370,6,6890,260,130,5,4821,163,141,5,6901,63,201,7,3144,113,151,9,7191,64,182,1,2811,93,392,8,1952,57,7,0,1092,66,36,1,6647,22,74,3,3186,140,144,1,5482,57,92,3,2025,290,19,0,4014,146,141,43,782,117,25,3,2614,66,73,3,1042,0,9,0,1508,98,8,1,1401,62,24,2,609,11,37,3,3618,60,78,3,1602,28,83,1,2098,114,213,14,1163,147,42,0,1480,44,20,1,2826,34,49,2,2401,156,121,5,510,16,46,0,688,66,6,1,1678,135,6,1,1252,39,63,1,140,33,13,1,412,35,5,0,1318,42,51,1,975,60,45,2,1908,27,48,1,916,37,13,3,316,22,8,1,1137,50,38,2,1778,5,10,0,2020/4/22 16:00,,,,
2020/4/23 17:00,211,2600557,72227,183530,6332,842629,17446,46784,1709,62773,4774,555,42,45757,2678,2906,165,133495,4451,18100,763,213024,8846,22157,875,187327,3370,25085,437,150648,2195,5315,229,98674,3083,2376,117,119151,1827,21340,544,85996,1194,5391,94,20471,487,652,12,19250,1413,530,46,84302,15,4642,0,39804,1384,1966,132,12772,1141,109,0,41889,933,6262,264,10544,1043,970,113,11296,464,160,13,34842,708,4054,138,10076,511,212,11,7141,608,10,1,10850,452,537,17,7281,558,58,3,28186,205,1216,30,16004,682,1937,172,21982,603,785,23,11178,2053,12,1,16671,631,769,39,8238,483,52,6,3772,390,120,10,10196,340,426,25,6592,467,174,13,7775,640,647,31,9710,468,508,26,14498,615,189,8,3635,170,65,7,11991,410,295,12,4356,207,206,10,14889,79,510,19,2248,168,13,2,3659,169,276,12,5300,256,260,15,6710,111,446,9,10702,8,240,2,7912,217,384,14,7114,224,134,4,4992,171,144,3,7087,186,208,7,3288,144,159,8,7275,84,187,5,2910,99,402,10,2009,57,7,0,1176,84,40,4,6647,0,74,0,3446,260,149,5,5532,50,93,1,2135,110,19,0,4129,115,149,8,873,91,28,3,2778,164,75,2,1154,112,9,0,1614,106,8,0,1473,72,24,0,609,0,37,0,3654,36,80,2,1631,29,83,0,2168,70,225,12,1163,0,43,1,1518,38,20,0,2826,0,49,0,2408,7,121,0,510,0,46,0,761,73,6,0,1716,38,7,1,1298,46,64,1,140,0,13,0,442,30,6,1,1350,32,54,3,1024,49,49,4,1950,42,48,0,952,36,14,1,316,0,8,0,1189,52,40,2,1785,7,10,0,2020/4/23 17:00,,,,
2020/4/24 16:00,211,2679653,79096,190781,7251,869172,26543,49963,3179,68622,5849,615,60,50036,4279,3331,425,139246,5751,18791,691,213024,0,22157,0,189973,2646,25549,464,153129,2481,5575,260,101790,3116,2491,115,120804,1653,21856,516,87026,1030,5481,90,23077,2606,718,66,20914,1664,572,42,84311,9,4642,0,43286,3482,2241,275,13930,1158,121,12,42797,908,6490,228,11633,1089,1069,99,11812,516,168,8,35729,887,4177,123,11057,981,235,23,7764,623,10,0,11183,333,560,23,8022,741,60,2,28414,228,1267,51,16825,821,2028,91,21982,0,820,35,12075,897,12,0,17607,936,794,25,8756,518,56,4,3772,0,120,0,10511,315,464,38,7170,578,187,13,7775,0,647,0,10096,386,541,33,14803,305,192,3,3953,318,75,10,12429,438,328,33,4561,205,215,9,14985,96,522,12,2399,151,14,1,3891,232,287,11,5543,243,265,5,6981,271,462,16,10708,6,240,0,8073,161,394,10,7276,162,139,5,5166,174,146,2,7138,51,210,2,3435,147,165,6,7401,126,194,7,3007,97,407,5,2217,208,8,1,1279,103,42,2,6667,20,76,2,3568,122,155,6,5603,71,95,2,2289,154,20,1,4284,155,172,23,981,108,31,3,2926,148,80,5,1154,0,9,0,1716,102,9,1,1523,50,24,0,703,94,43,6,3665,11,83,3,1677,46,83,0,2284,116,239,14,1163,0,43,0,1548,30,20,0,2854,28,50,1,2463,55,125,4,562,52,47,1,862,101,6,0,1758,42,7,0,1298,0,64,0,174,34,16,3,442,0,6,0,1387,37,54,0,1097,73,52,3,1981,31,50,2,1004,52,14,0,384,68,11,3,1235,46,43,3,1789,4,10,0,2020/4/24 16:00,,,,
2020/4/25 18:00,211,2775256,95603,196864,6083,905333,36161,51949,1986,68622,0,615,0,52995,2959,3670,339,143464,4218,19506,715,219764,6740,22524,367,192994,3021,25969,420,154545,1416,5723,148,104912,3122,2600,109,122577,1773,22245,389,89328,2302,5650,169,24506,1429,775,57,21648,734,634,62,84324,13,4642,0,43889,603,2337,96,15102,1172,127,6,44293,1496,6679,189,12872,1239,1221,152,12306,494,174,6,36535,806,4289,112,11155,98,237,2,8525,761,10,0,22719,11536,576,16,8773,751,63,3,28595,181,1308,41,17567,742,2152,124,22797,815,854,34,12693,618,12,0,18184,577,1014,220,9281,525,64,8,4689,917,131,11,10892,381,494,30,7647,477,193,6,8607,832,720,73,10417,321,552,11,15058,255,194,2,4220,267,79,4,12859,430,345,17,4881,320,225,10,15038,53,530,8,2614,215,15,1,4092,201,294,7,5749,206,267,2,7192,211,477,15,10718,10,240,0,8210,137,403,9,7483,207,144,5,5166,0,146,0,7236,98,214,4,3607,172,176,11,7444,43,199,5,3127,120,415,8,2506,289,8,0,1330,51,43,1,6667,0,76,0,3758,190,158,3,5742,139,98,3,2334,45,22,2,4395,111,177,5,1095,114,32,1,3110,184,84,4,1279,125,10,1,1790,74,10,1,1596,73,27,3,703,0,43,0,3695,30,85,2,1708,31,86,3,2383,99,250,11,1430,267,43,0,1592,44,21,1,2907,53,51,1,2490,27,130,5,562,0,47,0,954,92,6,0,1778,20,7,0,1416,118,48？,-16？,174,0,16,0,545,103,6,0,1400,13,55,1,1188,91,54,2,2009,28,51,1,1077,73,14,0,384,0,11,0,1285,50,49,6,1789,0,10,0,2020/4/25 18:00,,,,
